Gene A Standard Name,Gene B Standard Name,Experiment,Interaction Type,Annotation Type,Gene A Interaction Role,Interaction Method,PubMed ID,Reference,Human Homolog A,Human Homolog B
CMD1,CNA1,Jiang B and Cyert MS (1999)-10373463-Two-hybrid,physical,manually curated,Hit,Two-hybrid,10373463,Jiang B and Cyert MS (1999) Identification of a novel region critical for calcineurin function in vivo and in vitro. J Biol Chem 274(26):18543-51,57010,5533
YPK1,TOR2,"Niles BJ, et al. (2012)-22307609-Biochemical Activity",physical,manually curated,Hit,Biochemical Activity,22307609,"Niles BJ, et al. (2012) Plasma membrane recruitment and activation of the AGC kinase Ypk1 is mediated by target of rapamycin complex 2 (TORC2) and its effector proteins Slm1 and Slm2. Proc Natl Acad Sci U S A 109(5):1536-41",10000,2475
STE20,RCM1,"Ptacek J, et al. (2005)-16319894-Biochemical Activity",physical,high-throughput,Bait,Biochemical Activity,16319894,"Ptacek J, et al. (2005) Global analysis of protein phosphorylation in yeast. Nature 438(7068):679-84",56924,55695
GLO3,RPN11,"Guerrero C, et al. (2008)-18757749-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,18757749,"Guerrero C, et al. (2008) Characterization of the proteasome interaction network using a QTAX-based tag-team strategy and protein interaction network analysis. Proc Natl Acad Sci U S A 105(36):13333-8",116985,10213
CDC12,RVB1,"Lakshminarasimhan M, et al. (2016)-26831523-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,26831523,"Lakshminarasimhan M, et al. (2016) Proteomic and Genomic Analyses of the Rvb1 and Rvb2 Interaction Network upon Deletion of R2TP Complex Components. Mol Cell Proteomics 15(3):960-74",5414,8607
PRP43,SPP382,"Gavin AC, et al. (2006)-16429126-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,16429126,"Gavin AC, et al. (2006) Proteome survey reveals modularity of the yeast cell machinery. Nature 440(7084):631-6",1665,24144
TUB4,CMK2,"Fasolo J, et al. (2011)-21460040-Reconstituted Complex",physical,high-throughput,Hit,Reconstituted Complex,21460040,"Fasolo J, et al. (2011) Diverse protein kinase interactions identified by protein microarrays reveal novel connections between cellular processes. Genes Dev 25(7):767-78",51174,8536
IRE1,ISW1,"Babour A, et al. (2016)-27863241-Affinity Capture-RNA",physical,high-throughput,Hit,Affinity Capture-RNA,27863241,"Babour A, et al. (2016) The Chromatin Remodeler ISW1 Is a Quality Control Factor that Surveys Nuclear mRNP Biogenesis. Cell 167(5):1201-1214.e15",2081,9557
ESBP6,TPK1,"Ptacek J, et al. (2005)-16319894-Biochemical Activity",physical,high-throughput,Hit,Biochemical Activity,16319894,"Ptacek J, et al. (2005) Global analysis of protein phosphorylation in yeast. Nature 438(7068):679-84",9121,6197
HEK2,PHO4,"Hasegawa Y, et al. (2008)-18805955-Affinity Capture-RNA",physical,high-throughput,Bait,Affinity Capture-RNA,18805955,"Hasegawa Y, et al. (2008) Distinct roles for Khd1p in the localization and expression of bud-localized mRNAs in yeast. RNA 14(11):2333-47",5094,23462
GIN4,SHS1,"Carroll CW, et al. (1998)-9813092-Affinity Capture-Western",physical,manually curated,Bait,Affinity Capture-Western,9813092,"Carroll CW, et al. (1998) The septins are required for the mitosis-specific activation of the Gin4 kinase. J Cell Biol 143(3):709-17",57787,4735
HEK2,NSP1,"Hasegawa Y, et al. (2008)-18805955-Affinity Capture-RNA",physical,high-throughput,Bait,Affinity Capture-RNA,18805955,"Hasegawa Y, et al. (2008) Distinct roles for Khd1p in the localization and expression of bud-localized mRNAs in yeast. RNA 14(11):2333-47",3190,23636
HEK2,YOX1,"Hasegawa Y, et al. (2008)-18805955-Affinity Capture-RNA",physical,high-throughput,Bait,Affinity Capture-RNA,18805955,"Hasegawa Y, et al. (2008) Distinct roles for Khd1p in the localization and expression of bud-localized mRNAs in yeast. RNA 14(11):2333-47",54039,3201
HHF1,SIN3,"Gavin AC, et al. (2006)-16429126-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,16429126,"Gavin AC, et al. (2006) Proteome survey reveals modularity of the yeast cell machinery. Nature 440(7084):631-6",8361,25942
ROM1,ISW1,"Babour A, et al. (2016)-27863241-Affinity Capture-RNA",physical,high-throughput,Hit,Affinity Capture-RNA,27863241,"Babour A, et al. (2016) The Chromatin Remodeler ISW1 Is a Quality Control Factor that Surveys Nuclear mRNP Biogenesis. Cell 167(5):1201-1214.e15",11214,8467
PSR2,CDC25,"Tonikian R, et al. (2009)-19841731-Two-hybrid",physical,high-throughput,Hit,Two-hybrid,19841731,"Tonikian R, et al. (2009) Bayesian modeling of the yeast SH3 domain interactome predicts spatiotemporal dynamics of endocytosis proteins. PLoS Biol 7(10):e1000218",10106,5923
TUM1,SRO9,"Schenk L, et al. (2012)-22271760-Affinity Capture-RNA",physical,high-throughput,Hit,Affinity Capture-RNA,22271760,"Schenk L, et al. (2012) La-motif-dependent mRNA association with Slf1 promotes copper detoxification in yeast. RNA 18(3):449-61",4357,23367
ARC1,MES1,"Simader H, et al. (2006)-16914447-Co-crystal Structure",physical,manually curated,Bait,Co-crystal Structure,16914447,"Simader H, et al. (2006) Structural basis of yeast aminoacyl-tRNA synthetase complex formation revealed by crystal structures of two binary sub-complexes. Nucleic Acids Res 34(14):3968-79",9255,4141
RCK1,THS1,"Ptacek J, et al. (2005)-16319894-Biochemical Activity",physical,high-throughput,Bait,Biochemical Activity,16319894,"Ptacek J, et al. (2005) Global analysis of protein phosphorylation in yeast. Nature 438(7068):679-84",57118,80222
SNF4,SNF1,"Metz J, et al. (2006)-16260785-Two-hybrid",physical,manually curated,Hit,Two-hybrid,16260785,"Metz J, et al. (2006) The yeast Arr4p ATPase binds the chloride transporter Gef1p when copper is available in the cytosol. J Biol Chem 281(1):410-7",5571,83931
SWR1,ACT1,"Willhoft O, et al. (2018)-30309918-Affinity Capture-MS",physical,manually curated,Bait,Affinity Capture-MS,30309918,"Willhoft O, et al. (2018) Structure and dynamics of the yeast SWR1-nucleosome complex. Science 362(6411)",546,58
BET3,TRS23,"Sacher M, et al. (2001)-11239471-Affinity Capture-Western",physical,manually curated,Bait,Affinity Capture-Western,11239471,"Sacher M, et al. (2001) TRAPP I implicated in the specificity of tethering in ER-to-Golgi transport. Mol Cell 7(2):433-42",27095,51399
MAD2,BUB1,London N and Biggins S (2014)-24402315-Reconstituted Complex,physical,manually curated,Hit,Reconstituted Complex,24402315,London N and Biggins S (2014) Mad1 kinetochore recruitment by Mps1-mediated phosphorylation of Bub1 signals the spindle checkpoint. Genes Dev 28(2):140-52,4085,701
CDC19,SNF1,"Nicastro R, et al. (2015)-26309257-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,26309257,"Nicastro R, et al. (2015) Snf1 Phosphorylates Adenylate Cyclase and Negatively Regulates Protein Kinase A-dependent Transcription in Saccharomyces cerevisiae. J Biol Chem 290(41):24715-26",5315,5563
PRP22,SNT309,"Liu S, et al. (2017)-29146870-Reconstituted Complex",physical,manually curated,Bait,Reconstituted Complex,29146870,"Liu S, et al. (2017) Structure of the yeast spliceosomal postcatalytic P complex. Science 358(6368):1278-1283",9704,10286
ACS2,HHT2,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",55902,8353
RNA14,RNA15,"Gordon JM, et al. (2011)-22026644-Affinity Capture-Western",physical,manually curated,Hit,Affinity Capture-Western,22026644,"Gordon JM, et al. (2011) Reconstitution of CF IA from overexpressed subunits reveals stoichiometry and provides insights into molecular topology. Biochemistry 50(47):10203-14",1479,1478
RPS12,ESA1,"Mitchell L, et al. (2013)-23572591-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,23572591,"Mitchell L, et al. (2013) mChIP-KAT-MS, a method to map protein interactions and acetylation sites for lysine acetyltransferases. Proc Natl Acad Sci U S A 110(17):E1641-50",6206,23522
RSR1,CDC24,"Park HO, et al. (1997)-9114012-Reconstituted Complex",physical,manually curated,Bait,Reconstituted Complex,9114012,"Park HO, et al. (1997) Two active states of the Ras-related Bud1/Rsr1 protein bind to different effectors to determine yeast cell polarity. Proc Natl Acad Sci U S A 94(9):4463-8",9077,23263
PPN1,HHF2,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",10924,8369
CDC23,CDC27,"Lamb JR, et al. (1994)-7925276-Two-hybrid",physical,manually curated,Bait,Two-hybrid,7925276,"Lamb JR, et al. (1994) Cdc16p, Cdc23p and Cdc27p form a complex essential for mitosis. EMBO J 13(18):4321-8",996,8697
MNS1,RSP5,"O'Connor HF, et al. (2015)-26508657-Affinity Capture-MS",physical,manually curated,Hit,Affinity Capture-MS,26508657,"O'Connor HF, et al. (2015) Ubiquitin-Activated Interaction Traps (UBAITs) identify E3 ligase binding partners. EMBO Rep 16(12):1699-712",10905,23327
GIP2,TPK2,"Breitkreutz A, et al. (2010)-20489023-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,20489023,"Breitkreutz A, et al. (2010) A global protein kinase and phosphatase interaction network in yeast. Science 328(5981):1043-6",79660,5566
HHT1,SIR3,"Hecht A, et al. (1996)-8779721-Affinity Capture-Western",physical,manually curated,Hit,Affinity Capture-Western,8779721,"Hecht A, et al. (1996) Spreading of transcriptional repressor SIR3 from telomeric heterochromatin. Nature 383(6595):92-6",440093,4998
CRZ1,CCR4,"Miller JE, et al. (2018)-29158339-Affinity Capture-RNA",physical,high-throughput,Hit,Affinity Capture-RNA,29158339,"Miller JE, et al. (2018) Genome-Wide Mapping of Decay Factor-mRNA Interactions in Yeast Identifies Nutrient-Responsive Transcripts as Targets of the Deadenylase Ccr4. G3 (Bethesda) 8(1):315-330",92822,57472
ACT1,RVB2,"Lakshminarasimhan M, et al. (2016)-26831523-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,26831523,"Lakshminarasimhan M, et al. (2016) Proteomic and Genomic Analyses of the Rvb1 and Rvb2 Interaction Network upon Deletion of R2TP Complex Components. Mol Cell Proteomics 15(3):960-74",10120,10856
RSP5,SEC23,"Ossareh-Nazari B, et al. (2010)-20846524-Biochemical Activity",physical,manually curated,Bait,Biochemical Activity,20846524,"Ossareh-Nazari B, et al. (2010) The Rsp5 ubiquitin ligase and the AAA-ATPase Cdc48 control the ubiquitin-mediated degradation of the COPII component Sec23. Exp Cell Res 316(20):3351-7",10075,10484
CYR1,ACT1,"Gavin AC, et al. (2006)-16429126-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,16429126,"Gavin AC, et al. (2006) Proteome survey reveals modularity of the yeast cell machinery. Nature 440(7084):631-6",122769,10121
HHT2,PDP3,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",8354,11168
CDC5,PEP4,"Matos J, et al. (2008)-19013276-Affinity Capture-MS",physical,manually curated,Bait,Affinity Capture-MS,19013276,"Matos J, et al. (2008) Dbf4-dependent CDC7 kinase links DNA replication to the segregation of homologous chromosomes in meiosis I. Cell 135(4):662-78",10733,643847
CDC25,RAS1,Munder T and Fürst P (1992)-1569942-Reconstituted Complex,physical,manually curated,Bait,Reconstituted Complex,1569942,Munder T and Fürst P (1992) The Saccharomyces cerevisiae CDC25 gene product binds specifically to catalytically inactive ras proteins in vivo. Mol Cell Biol 12(5):2091-9,5923,3265
DCP2,CDC24,"Breitkreutz A, et al. (2010)-20489023-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,20489023,"Breitkreutz A, et al. (2010) A global protein kinase and phosphatase interaction network in yeast. Science 328(5981):1043-6",167227,7204
PAB1,ARF1,"Trautwein M, et al. (2004)-15356266-Two-hybrid",physical,manually curated,Hit,Two-hybrid,15356266,"Trautwein M, et al. (2004) Arf1p provides an unexpected link between COPI vesicles and mRNA in Saccharomyces cerevisiae. Mol Biol Cell 15(11):5021-37",26986,377
HTA1,HHF1,"Grant PA, et al. (1999)-10026213-Co-purification",physical,manually curated,Bait,Co-purification,10026213,"Grant PA, et al. (1999) Expanded lysine acetylation specificity of Gcn5 in native complexes. J Biol Chem 274(9):5895-900",8334,8360
MYO3,CMD1,"Ho Y, et al. (2002)-11805837-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,11805837,"Ho Y, et al. (2002) Systematic identification of protein complexes in Saccharomyces cerevisiae by mass spectrometry. Nature 415(6868):180-3",4642,57010
ACT1,MYO1,"Santiago E, et al. (2016)-26921299-Affinity Capture-MS",physical,manually curated,Hit,Affinity Capture-MS,26921299,"Santiago E, et al. (2016) Novel Interactome of Saccharomyces cerevisiae Myosin Type II Identified by a Modified Integrated Membrane Yeast Two-Hybrid (iMYTH) Screen. G3 (Bethesda) 6(5):1469-74",71,132320
TFS1,IRA2,"Gombault A, et al. (2007)-17945254-Two-hybrid",physical,manually curated,Bait,Two-hybrid,17945254,"Gombault A, et al. (2007) Molecular basis of the Tfs1/Ira2 interaction: a combined protein engineering and molecular modelling study. J Mol Biol 374(3):604-17",5037,5922
NDD1,FKH1,Shi BJ (2016)-27555611-PCA,physical,manually curated,Hit,PCA,27555611,Shi BJ (2016) Decoding common and divergent cellular functions of the domains of forkhead transcription factors Fkh1 and Fkh2. Biochem J 473(21):3855-3869,6662,2309
HSP82,UBP10,"Zhao R, et al. (2005)-15766533-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,15766533,"Zhao R, et al. (2005) Navigating the chaperone network: an integrative map of physical and genetic interactions mediated by the hsp90 chaperone. Cell 120(5):715-27",7184,57602
HCR1,FUS3,"Ptacek J, et al. (2005)-16319894-Biochemical Activity",physical,high-throughput,Hit,Biochemical Activity,16319894,"Ptacek J, et al. (2005) Global analysis of protein phosphorylation in yeast. Nature 438(7068):679-84",8669,5598
ABP1,INP52,"Fazi B, et al. (2002)-11668184-Protein-peptide",physical,manually curated,Bait,Protein-peptide,11668184,"Fazi B, et al. (2002) Unusual binding properties of the SH3 domain of the yeast actin-binding protein Abp1: structural and functional analysis. J Biol Chem 277(7):5290-8",10529,51763
DOA4,BRO1,Luhtala N and Odorizzi G (2004)-15326198-Co-localization,physical,manually curated,Bait,Co-localization,15326198,Luhtala N and Odorizzi G (2004) Bro1 coordinates deubiquitination in the multivesicular body pathway by recruiting Doa4 to endosomes. J Cell Biol 166(5):717-29,10868,25930
CRN1,ACT1,"Liu SL, et al. (2011)-21454476-Reconstituted Complex",physical,manually curated,Hit,Reconstituted Complex,21454476,"Liu SL, et al. (2011) Mechanism of a concentration-dependent switch between activation and inhibition of Arp2/3 complex by coronin. J Biol Chem 286(19):17039-46",23603,440915
HHF1,RSC9,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",8294,10865
NPL3,HTB1,"Tardiff DF, et al. (2007)-18077427-Affinity Capture-MS",physical,manually curated,Bait,Affinity Capture-MS,18077427,"Tardiff DF, et al. (2007) Protein characterization of Saccharomyces cerevisiae RNA polymerase II after in vivo cross-linking. Proc Natl Acad Sci U S A 104(50):19948-53",6430,8345
CHL1,MCM2,"Ma L, et al. (2010)-20980819-Affinity Capture-Western",physical,manually curated,Hit,Affinity Capture-Western,20980819,"Ma L, et al. (2010) Identification of novel factors involved in or regulating initiation of DNA replication by a genome-wide phenotypic screen in Saccharomyces cerevisiae. Cell Cycle 9(21):4399-410",1663,254394
HOG1,BMH2,"MacGilvray ME, et al. (2018)-29738528-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,29738528,"MacGilvray ME, et al. (2018) Network inference reveals novel connections in pathways regulating growth and defense in the yeast salt response. PLoS Comput Biol 13(5):e1006088",5602,7532
CLB2,SSA2,"Honey S, et al. (2001)-11160944-Affinity Capture-MS",physical,manually curated,Bait,Affinity Capture-MS,11160944,"Honey S, et al. (2001) A novel multiple affinity purification tag and its use in identification of proteins associated with a cyclin-CDK complex. Nucleic Acids Res 29(4):E24",890,3303
